model,method,biomarker,scope,coverage_mean,coverage_std,normalized_width_mean,normalized_width_std,folds
gam,bonferroni_cp,ALL_JOINT,joint,0.9434782608695652,0.0191172550119897,1.7980303000947786,0.1376783276232684,10
dqr,bonferroni_cp,ALL_JOINT,joint,0.932608695652174,0.0160405388559265,1.7283694761170951,0.1120737207615622,10
mlp,bonferroni_cp,ALL_JOINT,joint,0.9282608695652174,0.0221933229436428,1.8053007697702408,0.1091405113932593,10
drmc,bonferroni_cp,ALL_JOINT,joint,0.9221739130434784,0.0213442394932758,2.0496907014517,0.1660887227094294,10
dqr,joint_cp,ALL_JOINT,joint,0.9086956521739132,0.0190070681863825,1.5408372492737308,0.0679327673750985,10
mlp,joint_cp,ALL_JOINT,joint,0.9013043478260868,0.0343603597263022,1.709647212726935,0.0791416929348051,10
gam,joint_cp,ALL_JOINT,joint,0.9004347826086956,0.0205419126259733,1.3667601406007923,0.0823097456858315,10
drmc,joint_cp,ALL_JOINT,joint,0.8986956521739131,0.0229196380613587,1.9703461094951569,0.1926149869412174,10
dqr,raw,ALL_JOINT,joint,0.2752173913043478,0.0470534872865604,0.7025237379725878,0.0541762902369939,10
gam,raw,ALL_JOINT,joint,0.2517391304347826,0.0310463063164657,0.4342776482781192,0.0045068987619969,10
drmc,raw,ALL_JOINT,joint,0.0508695652173913,0.0235523968191185,0.4500132786700499,0.0213397792835037,10
mlp,raw,ALL_JOINT,joint,0.007391304347826,0.0071147464977585,0.2282584641536456,0.0177937035035833,10
gam,single_cp,ALL_JOINT,joint,0.7934782608695652,0.0299302556928454,0.9681819203017948,0.0370386333694354,10
mlp,single_cp,ALL_JOINT,joint,0.7443478260869565,0.0277111151367353,1.1251253263802294,0.0407182242470932,10
dqr,single_cp,ALL_JOINT,joint,0.7317391304347826,0.0167828339701032,1.1114854139929862,0.0289338146441683,10
drmc,single_cp,ALL_JOINT,joint,0.72,0.027665599997658,1.3035175507965016,0.0630131813472388,10
