model,fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
dqr,0,single_cp,hippocampus_right,0.1,2.3387129259088484,374,414
dqr,0,bonferroni_cp,hippocampus_right,0.025,4.10396752693832,405,414
dqr,0,single_cp,hippocampus_left,0.1,2.127753341910441,374,414
dqr,0,bonferroni_cp,hippocampus_left,0.025,4.773795564278633,405,414
dqr,0,single_cp,ventricle_right,0.1,0.9329280621515863,374,414
dqr,0,bonferroni_cp,ventricle_right,0.025,3.8516335849838286,405,414
dqr,0,single_cp,ventricle_left,0.1,2.7235103686326823,374,414
dqr,0,bonferroni_cp,ventricle_left,0.025,7.624988462234234,405,414
dqr,0,joint_cp,ALL,0.1,4.105895628405318,374,414
dqr,1,single_cp,hippocampus_right,0.1,2.012911854532854,374,414
dqr,1,bonferroni_cp,hippocampus_right,0.025,4.635910589056391,405,414
dqr,1,single_cp,hippocampus_left,0.1,1.5973683477611131,374,414
dqr,1,bonferroni_cp,hippocampus_left,0.025,5.024129542321173,405,414
dqr,1,single_cp,ventricle_right,0.1,1.2178159628251484,374,414
dqr,1,bonferroni_cp,ventricle_right,0.025,4.626439556029524,405,414
dqr,1,single_cp,ventricle_left,0.1,1.5936809348294654,374,414
dqr,1,bonferroni_cp,ventricle_left,0.025,3.780682605417267,405,414
dqr,1,joint_cp,ALL,0.1,3.614463176567886,374,414
dqr,2,single_cp,hippocampus_right,0.1,2.621731641815367,374,414
dqr,2,bonferroni_cp,hippocampus_right,0.025,5.179505974645232,405,414
dqr,2,single_cp,hippocampus_left,0.1,2.152433439494532,374,414
dqr,2,bonferroni_cp,hippocampus_left,0.025,4.887303548907546,405,414
dqr,2,single_cp,ventricle_right,0.1,2.3601892961711513,374,414
dqr,2,bonferroni_cp,ventricle_right,0.025,7.102348119693363,405,414
dqr,2,single_cp,ventricle_left,0.1,1.7213829447408004,374,414
dqr,2,bonferroni_cp,ventricle_left,0.025,4.732774099655735,405,414
dqr,2,joint_cp,ALL,0.1,4.732774099655735,374,414
dqr,3,single_cp,hippocampus_right,0.1,2.0834574003310666,374,414
dqr,3,bonferroni_cp,hippocampus_right,0.025,3.898649972000642,405,414
dqr,3,single_cp,hippocampus_left,0.1,1.4184032583044295,374,414
dqr,3,bonferroni_cp,hippocampus_left,0.025,3.5381812917711946,405,414
dqr,3,single_cp,ventricle_right,0.1,1.9017388697520252,374,414
dqr,3,bonferroni_cp,ventricle_right,0.025,4.229316885088225,405,414
dqr,3,single_cp,ventricle_left,0.1,1.4323063156597446,374,414
dqr,3,bonferroni_cp,ventricle_left,0.025,3.8706147076762516,405,414
dqr,3,joint_cp,ALL,0.1,3.3728293151903412,374,414
dqr,4,single_cp,hippocampus_right,0.1,2.3404491461963093,374,414
dqr,4,bonferroni_cp,hippocampus_right,0.025,4.4101833227437455,405,414
dqr,4,single_cp,hippocampus_left,0.1,2.1314511183703715,374,414
dqr,4,bonferroni_cp,hippocampus_left,0.025,4.022526924682294,405,414
dqr,4,single_cp,ventricle_right,0.1,2.2377856839025334,374,414
dqr,4,bonferroni_cp,ventricle_right,0.025,6.7659337416910175,405,414
dqr,4,single_cp,ventricle_left,0.1,1.7762376199305483,374,414
dqr,4,bonferroni_cp,ventricle_left,0.025,5.499468431052772,405,414
dqr,4,joint_cp,ALL,0.1,3.903149307948604,374,414
dqr,5,single_cp,hippocampus_right,0.1,2.1548067829773796,374,414
dqr,5,bonferroni_cp,hippocampus_right,0.025,4.939377737367695,405,414
dqr,5,single_cp,hippocampus_left,0.1,2.3668089487573365,374,414
dqr,5,bonferroni_cp,hippocampus_left,0.025,5.156158664697827,405,414
dqr,5,single_cp,ventricle_right,0.1,1.007202808105557,374,414
dqr,5,bonferroni_cp,ventricle_right,0.025,3.0285543954327103,405,414
dqr,5,single_cp,ventricle_left,0.1,2.200990804418583,374,414
dqr,5,bonferroni_cp,ventricle_left,0.025,4.606740943511028,405,414
dqr,5,joint_cp,ALL,0.1,3.8085656226043234,374,414
dqr,6,single_cp,hippocampus_right,0.1,1.5073740453086795,374,414
dqr,6,bonferroni_cp,hippocampus_right,0.025,3.5842930089032086,405,414
dqr,6,single_cp,hippocampus_left,0.1,1.7671279980174879,374,414
dqr,6,bonferroni_cp,hippocampus_left,0.025,3.9927079952904694,405,414
dqr,6,single_cp,ventricle_right,0.1,1.9725724858382392,374,414
dqr,6,bonferroni_cp,ventricle_right,0.025,4.662140603792478,405,414
dqr,6,single_cp,ventricle_left,0.1,1.3891066797595866,374,414
dqr,6,bonferroni_cp,ventricle_left,0.025,3.5832130367827477,405,414
dqr,6,joint_cp,ALL,0.1,3.4169208808767606,374,414
dqr,7,single_cp,hippocampus_right,0.1,1.3605479707217338,374,414
dqr,7,bonferroni_cp,hippocampus_right,0.025,3.8279921187665447,405,414
dqr,7,single_cp,hippocampus_left,0.1,2.2913135942471254,374,414
dqr,7,bonferroni_cp,hippocampus_left,0.025,4.049415496596693,405,414
dqr,7,single_cp,ventricle_right,0.1,0.8436218616083722,374,414
dqr,7,bonferroni_cp,ventricle_right,0.025,3.2640643952232664,405,414
dqr,7,single_cp,ventricle_left,0.1,1.6832036691266974,374,414
dqr,7,bonferroni_cp,ventricle_left,0.025,4.59245946915241,405,414
dqr,7,joint_cp,ALL,0.1,3.648560051608796,374,414
dqr,8,single_cp,hippocampus_right,0.1,1.8800096556228238,374,414
dqr,8,bonferroni_cp,hippocampus_right,0.025,4.913064162978483,405,414
dqr,8,single_cp,hippocampus_left,0.1,1.4556918112552708,374,414
dqr,8,bonferroni_cp,hippocampus_left,0.025,4.225250434124173,405,414
dqr,8,single_cp,ventricle_right,0.1,1.4753508903215784,374,414
dqr,8,bonferroni_cp,ventricle_right,0.025,6.707533967082367,405,414
dqr,8,single_cp,ventricle_left,0.1,1.1732559022653357,374,414
dqr,8,bonferroni_cp,ventricle_left,0.025,3.88507648676785,405,414
dqr,8,joint_cp,ALL,0.1,3.274387241954058,374,414
dqr,9,single_cp,hippocampus_right,0.1,2.299411880638455,374,414
dqr,9,bonferroni_cp,hippocampus_right,0.025,4.951786134278042,405,414
dqr,9,single_cp,hippocampus_left,0.1,1.516821756621705,374,414
dqr,9,bonferroni_cp,hippocampus_left,0.025,2.531260621881873,405,414
dqr,9,single_cp,ventricle_right,0.1,1.965554351879638,374,414
dqr,9,bonferroni_cp,ventricle_right,0.025,9.886663386295998,405,414
dqr,9,single_cp,ventricle_left,0.1,2.479159887097262,374,414
dqr,9,bonferroni_cp,ventricle_left,0.025,8.922526748785566,405,414
dqr,9,joint_cp,ALL,0.1,3.890027062590982,374,414
