model,fold,method,biomarker,scope,coverage,pointwise_coverage,mean_width,mean_normalized_width,mean_absolute_error,n_test_subjects
dqr,0,bonferroni_cp,hippocampus_left,biomarker,0.9826086956521739,0.9966977225672877,1.9025987807581215,1.8934500261067941,0.19186961307085829,230
dqr,0,bonferroni_cp,hippocampus_right,biomarker,0.9739130434782609,0.9953362820754125,1.7160051838603512,1.7071049900807418,0.18551857489978096,230
dqr,0,bonferroni_cp,ventricle_left,biomarker,0.9869565217391304,0.9965700483091787,1.6827392899401015,1.69032555714177,0.1270138696478388,230
dqr,0,bonferroni_cp,ventricle_right,biomarker,0.9652173913043478,0.9871256038647344,1.4747033386407515,1.4839877619583004,0.14870033989490433,230
dqr,0,joint_cp,hippocampus_left,biomarker,0.9739130434782609,0.9937508626639061,1.722316724426487,1.7140348663158786,0.19186961307085829,230
dqr,0,joint_cp,hippocampus_right,biomarker,0.9739130434782609,0.9953362820754125,1.7164776045170826,1.707574960491151,0.18551857489978096,230
dqr,0,joint_cp,ventricle_left,biomarker,0.9478260869565217,0.9874965493443755,1.1663450147607781,1.1716032297345451,0.1270138696478388,230
dqr,0,joint_cp,ventricle_right,biomarker,0.9652173913043478,0.9871256038647344,1.5252148813983328,1.534817314808553,0.14870033989490433,230
dqr,0,raw,hippocampus_left,biomarker,0.5130434782608696,0.7953257732605559,0.614037973053196,0.6110853364706036,0.19186961307085829,230
dqr,0,raw,hippocampus_right,biomarker,0.591304347826087,0.8413855950812472,0.7104569451060787,0.7067721051399846,0.18551857489978096,230
dqr,0,raw,ventricle_left,biomarker,0.6869565217391305,0.8552326055586924,0.5638428651697464,0.5663848291332098,0.1270138696478388,230
dqr,0,raw,ventricle_right,biomarker,0.8,0.9160256289604116,0.7095401554284714,0.7140072716213927,0.14870033989490433,230
dqr,0,single_cp,hippocampus_left,biomarker,0.8826086956521739,0.9594202898550724,1.1883691374132423,1.1826547967002357,0.19186961307085829,230
