model,method,biomarker,scope,coverage_mean,coverage_std,normalized_width_mean,normalized_width_std,folds
dqr,bonferroni_cp,ALL_JOINT,joint,0.9326086956521739,0.016040538855926555,1.7283694761170953,0.11207372076156223,10
dqr,bonferroni_cp,hippocampus_left,biomarker,0.9773913043478262,0.013870708537977295,2.012065958412771,0.23315403085701153,10
dqr,bonferroni_cp,hippocampus_right,biomarker,0.9765217391304348,0.012667694715021561,1.953585209584557,0.1786175864529425,10
dqr,bonferroni_cp,ventricle_left,biomarker,0.978695652173913,0.01033974433723881,1.444562386995323,0.19616621354450678,10
dqr,bonferroni_cp,ventricle_right,biomarker,0.9782608695652174,0.011951030798891796,1.5032643494757303,0.25100759736663736,10
dqr,joint_cp,ALL_JOINT,joint,0.9086956521739131,0.01900706818638259,1.5408372492737308,0.06793276737509854,10
dqr,joint_cp,hippocampus_left,biomarker,0.9721739130434782,0.016293877475426294,1.8934236923354448,0.16510305415062476,10
dqr,joint_cp,hippocampus_right,biomarker,0.9665217391304347,0.01833777227581058,1.7710272103568367,0.10383858042073191,10
dqr,joint_cp,ventricle_left,biomarker,0.9686956521739131,0.01061043780737573,1.2365990575154298,0.07447447127108638,10
dqr,joint_cp,ventricle_right,biomarker,0.9691304347826086,0.014266347480956187,1.2622990368872113,0.16726656331251877,10
dqr,raw,ALL_JOINT,joint,0.2752173913043478,0.047053487286560475,0.7025237379725878,0.054176290236993926,10
dqr,raw,hippocampus_left,biomarker,0.6165217391304348,0.05151761128208215,0.8222178092460215,0.11708556122728228,10
dqr,raw,hippocampus_right,biomarker,0.5856521739130435,0.05989734269077108,0.7499942240231393,0.10732758664800279,10
dqr,raw,ventricle_left,biomarker,0.7086956521739131,0.05434299495435558,0.6105281603447332,0.04687891975315303,10
dqr,raw,ventricle_right,biomarker,0.731304347826087,0.0688306629012792,0.6273547582764571,0.06381675941491292,10
dqr,single_cp,ALL_JOINT,joint,0.7317391304347826,0.016782833970103297,1.1114854139929862,0.028933814644168394,10
dqr,single_cp,hippocampus_left,biomarker,0.8956521739130434,0.014636963678785631,1.3498641872460264,0.11960013072062277,10
dqr,single_cp,hippocampus_right,biomarker,0.9,0.02711345932444886,1.303106915635907,0.060741973656942,10
dqr,single_cp,ventricle_left,biomarker,0.912608695652174,0.02555414003001879,0.9093593594130243,0.04423217024121077,10
dqr,single_cp,ventricle_right,biomarker,0.9034782608695652,0.020679488674477664,0.8836111936769863,0.03540670142605822,10
