model,fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
drmc,0,single_cp,hippocampus_right,0.1,5.024550694725944,374,414
drmc,0,bonferroni_cp,hippocampus_right,0.025,7.066010363866763,405,414
drmc,0,single_cp,hippocampus_left,0.1,5.770339345013477,374,414
drmc,0,bonferroni_cp,hippocampus_left,0.025,8.432004458526329,405,414
drmc,0,single_cp,ventricle_right,0.1,4.115961910855569,374,414
drmc,0,bonferroni_cp,ventricle_right,0.025,6.107732377800075,405,414
drmc,0,single_cp,ventricle_left,0.1,3.6809230719418387,374,414
drmc,0,bonferroni_cp,ventricle_left,0.025,5.694312720322058,405,414
drmc,0,joint_cp,ALL,0.1,6.721754541181369,374,414
drmc,1,single_cp,hippocampus_right,0.1,5.419477333622999,374,414
drmc,1,bonferroni_cp,hippocampus_right,0.025,7.792210357765556,405,414
drmc,1,single_cp,hippocampus_left,0.1,5.518780356774661,374,414
drmc,1,bonferroni_cp,hippocampus_left,0.025,7.999441485045502,405,414
drmc,1,single_cp,ventricle_right,0.1,4.495879476557916,374,414
drmc,1,bonferroni_cp,ventricle_right,0.025,6.681071626590505,405,414
drmc,1,single_cp,ventricle_left,0.1,4.017238505369933,374,414
drmc,1,bonferroni_cp,ventricle_left,0.025,6.282806148118807,405,414
drmc,1,joint_cp,ALL,0.1,6.7417049780532965,374,414
drmc,2,single_cp,hippocampus_right,0.1,5.294778829406656,374,414
drmc,2,bonferroni_cp,hippocampus_right,0.025,8.13834219603614,405,414
drmc,2,single_cp,hippocampus_left,0.1,5.684117109056395,374,414
drmc,2,bonferroni_cp,hippocampus_left,0.025,8.70472192702005,405,414
drmc,2,single_cp,ventricle_right,0.1,3.913606041401878,374,414
drmc,2,bonferroni_cp,ventricle_right,0.025,6.169139576837816,405,414
drmc,2,single_cp,ventricle_left,0.1,3.9061473863585747,374,414
drmc,2,bonferroni_cp,ventricle_left,0.025,6.933861235504906,405,414
drmc,2,joint_cp,ALL,0.1,7.2092591304295786,374,414
drmc,3,single_cp,hippocampus_right,0.1,5.334418466074535,374,414
drmc,3,bonferroni_cp,hippocampus_right,0.025,8.020964279886782,405,414
drmc,3,single_cp,hippocampus_left,0.1,5.870300703301035,374,414
drmc,3,bonferroni_cp,hippocampus_left,0.025,9.428249919410513,405,414
drmc,3,single_cp,ventricle_right,0.1,3.8850572153466265,374,414
drmc,3,bonferroni_cp,ventricle_right,0.025,6.36162911367043,405,414
drmc,3,single_cp,ventricle_left,0.1,3.885176836702573,374,414
drmc,3,bonferroni_cp,ventricle_left,0.025,6.681747356889085,405,414
drmc,3,joint_cp,ALL,0.1,7.080152261938755,374,414
drmc,4,single_cp,hippocampus_right,0.1,5.184240185228954,374,414
drmc,4,bonferroni_cp,hippocampus_right,0.025,8.173550589623808,405,414
drmc,4,single_cp,hippocampus_left,0.1,4.907228531561441,374,414
drmc,4,bonferroni_cp,hippocampus_left,0.025,7.41249025015209,405,414
drmc,4,single_cp,ventricle_right,0.1,4.08946271561914,374,414
drmc,4,bonferroni_cp,ventricle_right,0.025,6.603226201592298,405,414
drmc,4,single_cp,ventricle_left,0.1,3.8449886962453736,374,414
drmc,4,bonferroni_cp,ventricle_left,0.025,5.6235296924929425,405,414
drmc,4,joint_cp,ALL,0.1,6.577955720233409,374,414
drmc,5,single_cp,hippocampus_right,0.1,6.146610710457672,374,414
drmc,5,bonferroni_cp,hippocampus_right,0.025,9.493170030684421,405,414
drmc,5,single_cp,hippocampus_left,0.1,5.545487234702382,374,414
drmc,5,bonferroni_cp,hippocampus_left,0.025,8.684555903545089,405,414
drmc,5,single_cp,ventricle_right,0.1,4.080410343761635,374,414
drmc,5,bonferroni_cp,ventricle_right,0.025,6.142076651201289,405,414
drmc,5,single_cp,ventricle_left,0.1,3.8265946223156697,374,414
drmc,5,bonferroni_cp,ventricle_left,0.025,5.98495791405678,405,414
drmc,5,joint_cp,ALL,0.1,7.170665591707944,374,414
drmc,6,single_cp,hippocampus_right,0.1,5.79414683986534,374,414
drmc,6,bonferroni_cp,hippocampus_right,0.025,9.224119592560625,405,414
drmc,6,single_cp,hippocampus_left,0.1,6.125750168054619,374,414
drmc,6,bonferroni_cp,hippocampus_left,0.025,11.01141619195365,405,414
drmc,6,single_cp,ventricle_right,0.1,3.4654652033718696,374,414
drmc,6,bonferroni_cp,ventricle_right,0.025,4.89557774492107,405,414
drmc,6,single_cp,ventricle_left,0.1,3.677924752288958,374,414
drmc,6,bonferroni_cp,ventricle_left,0.025,6.140857857674451,405,414
drmc,6,joint_cp,ALL,0.1,7.294234230433212,374,414
drmc,7,single_cp,hippocampus_right,0.1,4.988124241503474,374,414
drmc,7,bonferroni_cp,hippocampus_right,0.025,7.4193289292535605,405,414
drmc,7,single_cp,hippocampus_left,0.1,5.7987665795540915,374,414
drmc,7,bonferroni_cp,hippocampus_left,0.025,9.24316474248122,405,414
drmc,7,single_cp,ventricle_right,0.1,3.3420951256636546,374,414
drmc,7,bonferroni_cp,ventricle_right,0.025,5.765192949000457,405,414
drmc,7,single_cp,ventricle_left,0.1,5.125917395080766,374,414
drmc,7,bonferroni_cp,ventricle_left,0.025,8.808909894217951,405,414
drmc,7,joint_cp,ALL,0.1,7.937568406054537,374,414
drmc,8,single_cp,hippocampus_right,0.1,6.917531198958602,374,414
drmc,8,bonferroni_cp,hippocampus_right,0.025,10.006044589032234,405,414
drmc,8,single_cp,hippocampus_left,0.1,5.17901528986965,374,414
drmc,8,bonferroni_cp,hippocampus_left,0.025,7.148648459768178,405,414
drmc,8,single_cp,ventricle_right,0.1,3.571515163491823,374,414
drmc,8,bonferroni_cp,ventricle_right,0.025,6.549029689669168,405,414
