model,fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
gam,0,single_cp,hippocampus_right,0.1,3.615394008011624,374,414
gam,0,bonferroni_cp,hippocampus_right,0.025,5.430709258277938,405,414
gam,0,single_cp,hippocampus_left,0.1,3.5668896590117325,374,414
gam,0,bonferroni_cp,hippocampus_left,0.025,7.18627481117414,405,414
gam,0,single_cp,ventricle_right,0.1,3.5114628101282146,374,414
gam,0,bonferroni_cp,ventricle_right,0.025,6.111320137988316,405,414
gam,0,single_cp,ventricle_left,0.1,3.399128463389645,374,414
gam,0,bonferroni_cp,ventricle_left,0.025,7.20062141091427,405,414
gam,0,joint_cp,ALL,0.1,4.856753878358359,374,414
gam,1,single_cp,hippocampus_right,0.1,3.83425534300657,374,414
gam,1,bonferroni_cp,hippocampus_right,0.025,5.914327009350567,405,414
gam,1,single_cp,hippocampus_left,0.1,3.6339331083941278,374,414
gam,1,bonferroni_cp,hippocampus_left,0.025,6.263234491141995,405,414
gam,1,single_cp,ventricle_right,0.1,3.5385645965511756,374,414
gam,1,bonferroni_cp,ventricle_right,0.025,7.0021480394994216,405,414
gam,1,single_cp,ventricle_left,0.1,3.4437676871200864,374,414
gam,1,bonferroni_cp,ventricle_left,0.025,7.768180938862292,405,414
gam,1,joint_cp,ALL,0.1,4.913757520171633,374,414
gam,2,single_cp,hippocampus_right,0.1,3.564553190644796,374,414
gam,2,bonferroni_cp,hippocampus_right,0.025,5.718104235085282,405,414
gam,2,single_cp,hippocampus_left,0.1,3.537314829309478,374,414
gam,2,bonferroni_cp,hippocampus_left,0.025,4.925376502904825,405,414
gam,2,single_cp,ventricle_right,0.1,4.034670743839588,374,414
gam,2,bonferroni_cp,ventricle_right,0.025,9.019100452569251,405,414
gam,2,single_cp,ventricle_left,0.1,3.800761408710278,374,414
gam,2,bonferroni_cp,ventricle_left,0.025,8.19301220351027,405,414
gam,2,joint_cp,ALL,0.1,5.320896874266869,374,414
gam,3,single_cp,hippocampus_right,0.1,3.6108182682120575,374,414
gam,3,bonferroni_cp,hippocampus_right,0.025,5.578236296113232,405,414
gam,3,single_cp,hippocampus_left,0.1,3.6805158704492613,374,414
gam,3,bonferroni_cp,hippocampus_left,0.025,5.9294583930518865,405,414
gam,3,single_cp,ventricle_right,0.1,3.3986417923375893,374,414
gam,3,bonferroni_cp,ventricle_right,0.025,6.450184177133427,405,414
gam,3,single_cp,ventricle_left,0.1,3.496069948293288,374,414
gam,3,bonferroni_cp,ventricle_left,0.025,7.241692372615981,405,414
