model,fold,method,biomarker,scope,coverage,pointwise_coverage,mean_width,mean_normalized_width,mean_absolute_error,n_test_subjects
gam,0,bonferroni_cp,hippocampus_left,biomarker,0.991304347826087,0.9980676328502415,2.3202021718025208,2.3090453474494432,0.15150424449218217,230
gam,0,bonferroni_cp,hippocampus_right,biomarker,0.9782608695652174,0.9943719806763285,1.7392015755176544,1.7301810718563038,0.13970847131074368,230
gam,0,bonferroni_cp,ventricle_left,biomarker,0.9869565217391304,0.9956038647342995,1.512855052947998,1.519675433703157,0.10461858329392898,230
gam,0,bonferroni_cp,ventricle_right,biomarker,0.9608695652173913,0.9914682539682539,1.2974176406860352,1.3055859103848664,0.10770248884899913,230
gam,0,joint_cp,hippocampus_left,biomarker,0.9739130434782609,0.9933160800552105,1.5680795951409259,1.5605393950552406,0.15150424449218217,230
gam,0,joint_cp,hippocampus_right,biomarker,0.9739130434782609,0.9900379572118703,1.5553905752304655,1.547323421557079,0.13970847131074368,230
gam,0,joint_cp,ventricle_left,biomarker,0.9565217391304348,0.9881780538302277,1.0204070213526615,1.0250073063550493,0.10461858329392898,230
gam,0,joint_cp,ventricle_right,biomarker,0.9347826086956522,0.9822481021394065,1.031076431274414,1.0375678725086372,0.10770248884899913,230
gam,0,raw,hippocampus_left,biomarker,0.5347826086956522,0.830790984377941,0.5310669377151901,0.5285132720838835,0.15150424449218217,230
gam,0,raw,hippocampus_right,biomarker,0.5652173913043478,0.8306981303720434,0.5267695034731168,0.5240373726484578,0.13970847131074368,230
gam,0,raw,ventricle_left,biomarker,0.5695652173913044,0.8298255850429763,0.345584773714331,0.34714276814038275,0.10461858329392898,230
gam,0,raw,ventricle_right,biomarker,0.6086956521739131,0.8456866804692892,0.3491982196592507,0.35139669850452077,0.10770248884899913,230
gam,0,single_cp,hippocampus_left,biomarker,0.9,0.9665545203588681,1.1516265869140625,1.1460889248487984,0.15150424449218217,230
gam,0,single_cp,hippocampus_right,biomarker,0.9391304347826087,0.9822531212748604,1.1578412055969238,1.1518359725167726,0.13970847131074368,230
gam,0,single_cp,ventricle_left,biomarker,0.8913043478260869,0.9700498776585733,0.7141590118408203,0.7173786437354893,0.10461858329392898,230
gam,0,single_cp,ventricle_right,biomarker,0.908695652173913,0.9704089026915114,0.7454745769500732,0.7501679287337985,0.10770248884899913,230
gam,0,bonferroni_cp,ALL_JOINT,joint,0.9391304347826087,,,1.7161219408484427,,230
gam,0,joint_cp,ALL_JOINT,joint,0.9043478260869565,,,1.2926094988690016,,230
gam,0,raw,ALL_JOINT,joint,0.26521739130434785,,,0.4377725278443112,,230
gam,0,single_cp,ALL_JOINT,joint,0.7913043478260869,,,0.9413678674587148,,230
gam,1,bonferroni_cp,hippocampus_left,biomarker,0.9826086956521739,0.9962387853692202,2.0258829593658447,2.0268662371816886,0.15600861680607325,230
gam,1,bonferroni_cp,hippocampus_right,biomarker,0.9782608695652174,0.9955314009661836,1.8400194644927979,1.8273866203426965,0.14504242659877498,230
gam,1,bonferroni_cp,ventricle_left,biomarker,0.9826086956521739,0.9965096618357489,1.6280298233032227,1.6326522219504505,0.09748034960416385,230
gam,1,bonferroni_cp,ventricle_right,biomarker,0.9652173913043478,0.9935814668423364,1.4949493408203125,1.4803056474279745,0.10086788562740182,230
gam,1,joint_cp,hippocampus_left,biomarker,0.9565217391304348,0.9881021394064873,1.589386065722156,1.590157486426403,0.15600861680607325,230
gam,1,joint_cp,hippocampus_right,biomarker,0.9565217391304348,0.9904663693794128,1.528730059501136,1.5182344049920808,0.14504242659877498,230
gam,1,joint_cp,ventricle_left,biomarker,0.9347826086956522,0.9848012736056214,1.029809147119522,1.0327330422106389,0.09748034960416385,230
gam,1,joint_cp,ventricle_right,biomarker,0.9434782608695652,0.9872236338540686,1.049080728412675,1.0388045162955097,0.10086788562740182,230
gam,1,raw,hippocampus_left,biomarker,0.508695652173913,0.8130943935291761,0.5320383482695545,0.532296577158155,0.15600861680607325,230
gam,1,raw,hippocampus_right,biomarker,0.5478260869565217,0.8370323758367236,0.5117340798111569,0.5082207165009858,0.14504242659877498,230
gam,1,raw,ventricle_left,biomarker,0.6478260869565218,0.8541538171972954,0.34472301568681835,0.34570177367919097,0.09748034960416385,230
gam,1,raw,ventricle_right,biomarker,0.6260869565217392,0.8572192662410054,0.3511740727967803,0.34773416663477424,0.10086788562740182,230
gam,1,single_cp,hippocampus_left,biomarker,0.9,0.971625053690271,1.175418734550476,1.1759892330388846,0.15600861680607325,230
gam,1,single_cp,hippocampus_right,biomarker,0.9130434782608695,0.9786728247597813,1.1928837299346924,1.184693863174989,0.14504242659877498,230
gam,1,single_cp,ventricle_left,biomarker,0.8913043478260869,0.9661867118388857,0.7217335104942322,0.7237826990009874,0.09748034960416385,230
gam,1,single_cp,ventricle_right,biomarker,0.8913043478260869,0.971053970184405,0.7554788589477539,0.7480786076664939,0.10086788562740182,230
gam,1,bonferroni_cp,ALL_JOINT,joint,0.9521739130434783,,,1.7418026817257024,,230
gam,1,joint_cp,ALL_JOINT,joint,0.8956521739130435,,,1.294982362481158,,230
gam,1,raw,ALL_JOINT,joint,0.3130434782608696,,,0.43348830849327646,,230
gam,1,single_cp,ALL_JOINT,joint,0.7782608695652173,,,0.9581361007203387,,230
gam,2,bonferroni_cp,hippocampus_left,biomarker,0.9608695652173913,0.9906935817805383,1.6256762742996216,1.6418443725205427,0.16183264171092607,230
gam,2,bonferroni_cp,hippocampus_right,biomarker,0.9869565217391304,0.9975931677018635,1.854383945465088,1.8670130797254325,0.1550804211397483,230
gam,2,bonferroni_cp,ventricle_left,biomarker,0.9869565217391304,0.9983229813664597,1.6731188297271729,1.6634584614742778,0.10224571456905811,230
gam,2,bonferroni_cp,ventricle_right,biomarker,0.9826086956521739,0.9960041407867495,1.830002784729004,1.837877721534248,0.10625355119872194,230
gam,2,joint_cp,hippocampus_left,biomarker,0.9739130434782609,0.993664596273292,1.7562222504998646,1.7736886884941583,0.16183264171092607,230
gam,2,joint_cp,hippocampus_right,biomarker,0.9739130434782609,0.9952329192546584,1.7255694078771353,1.7373212609822688,0.1550804211397483,230
gam,2,joint_cp,ventricle_left,biomarker,0.9565217391304348,0.9886335403726707,1.0865958124117174,1.0803219509839177,0.10224571456905811,230
gam,2,joint_cp,ventricle_right,biomarker,0.9347826086956522,0.980031055900621,1.0796260833740234,1.0842719709381359,0.10625355119872194,230
gam,2,raw,hippocampus_left,biomarker,0.4956521739130435,0.81885955831608,0.5429025607389915,0.5483019763946078,0.16183264171092607,230
gam,2,raw,hippocampus_right,biomarker,0.46956521739130436,0.8098102139406487,0.5334268199840428,0.5370596808832767,0.1550804211397483,230
gam,2,raw,ventricle_left,biomarker,0.5695652173913044,0.8197481021394065,0.33590033885442544,0.3339608944396285,0.10224571456905811,230
gam,2,raw,ventricle_right,biomarker,0.6086956521739131,0.8307660455486543,0.3337457802607485,0.3351819676537418,0.10625355119872194,230
gam,2,single_cp,hippocampus_left,biomarker,0.8869565217391304,0.9677795031055901,1.1675308048725128,1.1791424356919773,0.16183264171092607,230
gam,2,single_cp,hippocampus_right,biomarker,0.8913043478260869,0.9719392684610076,1.1559863090515137,1.1638590617982325,0.1550804211397483,230
gam,2,single_cp,ventricle_left,biomarker,0.9130434782608695,0.9725051759834368,0.7761645317077637,0.7716830596999712,0.10224571456905811,230
gam,2,single_cp,ventricle_right,biomarker,0.9217391304347826,0.9759627329192546,0.8186469078063965,0.822169739967408,0.10625355119872194,230
gam,2,bonferroni_cp,ALL_JOINT,joint,0.9478260869565217,,,1.7525484088136252,,230
gam,2,joint_cp,ALL_JOINT,joint,0.9043478260869565,,,1.4189009678496203,,230
gam,2,raw,ALL_JOINT,joint,0.24347826086956523,,,0.43862612984281374,,230
gam,2,single_cp,ALL_JOINT,joint,0.7956521739130434,,,0.9842135742893973,,230
gam,3,bonferroni_cp,hippocampus_left,biomarker,0.9652173913043478,0.9921306230001882,1.8695340603590012,1.8969128183046151,0.15932010103978808,230
gam,3,bonferroni_cp,hippocampus_right,biomarker,0.9478260869565217,0.9891748227617793,1.7132699489593506,1.728525117462422,0.16356677976230014,230
gam,3,bonferroni_cp,ventricle_left,biomarker,0.9782608695652174,0.9954347826086956,1.5426197052001953,1.5157490912251366,0.10816057877562252,230
gam,3,bonferroni_cp,ventricle_right,biomarker,0.9608695652173913,0.9916149068322981,1.4017529487609863,1.374875812545783,0.10830146032952978,230
gam,3,joint_cp,hippocampus_left,biomarker,0.9478260869565217,0.988785055524186,1.6026291512436006,1.6260991679385934,0.15932010103978808,230
gam,3,joint_cp,hippocampus_right,biomarker,0.9391304347826087,0.9858897986071898,1.561146186270856,1.575046825889239,0.16356677976230014,230
gam,3,joint_cp,ventricle_left,biomarker,0.9521739130434783,0.9875138026224983,1.0827631950378418,1.063902738541542,0.10816057877562252,230
gam,3,joint_cp,ventricle_right,biomarker,0.9434782608695652,0.9864337474120082,1.1046229069406888,1.0834429262868073,0.10830146032952978,230
gam,3,raw,hippocampus_left,biomarker,0.4652173913043478,0.7978529079616036,0.5186156434615032,0.5262106118925222,0.15932010103978808,230
gam,3,raw,hippocampus_right,biomarker,0.46956521739130436,0.7814618232009536,0.5051916304542914,0.5096899195030211,0.16356677976230014,230
gam,3,raw,ventricle_left,biomarker,0.5956521739130435,0.8308082376560638,0.3503854467362233,0.34428214593565054,0.10816057877562252,230
gam,3,raw,ventricle_right,biomarker,0.6260869565217392,0.8337136896919506,0.35745931566315553,0.3506054098254941,0.10830146032952978,230
gam,3,single_cp,hippocampus_left,biomarker,0.8913043478260869,0.9708519982433026,1.1604516506195068,1.1774461122469129,0.15932010103978808,230
gam,3,single_cp,hippocampus_right,biomarker,0.8521739130434782,0.9596387790953009,1.1090075969696045,1.1188823384096407,0.16356677976230014,230
gam,3,single_cp,ventricle_left,biomarker,0.9,0.9663008971704624,0.7447301149368286,0.7317577955981024,0.10816057877562252,230
gam,3,single_cp,ventricle_right,biomarker,0.8913043478260869,0.962208419599724,0.738592267036438,0.724430538333687,0.10830146032952978,230
gam,3,bonferroni_cp,ALL_JOINT,joint,0.9130434782608695,,,1.629015709884489,,230
gam,3,joint_cp,ALL_JOINT,joint,0.8782608695652174,,,1.3371229146640453,,230
gam,3,raw,ALL_JOINT,joint,0.20869565217391303,,,0.432697021789172,,230
gam,3,single_cp,ALL_JOINT,joint,0.7478260869565218,,,0.9381291961470858,,230
gam,4,bonferroni_cp,hippocampus_left,biomarker,0.9521739130434783,0.9873619737750173,1.683302879333496,1.673339372281229,0.16503803631482225,230
gam,4,bonferroni_cp,hippocampus_right,biomarker,0.9695652173913043,0.9942822636300898,1.9114117622375488,1.8915775690795578,0.15412689788441347,230
gam,4,bonferroni_cp,ventricle_left,biomarker,0.9652173913043478,0.9924665913796348,1.499376654624939,1.4842529864293281,0.1051432679532423,230
gam,4,bonferroni_cp,ventricle_right,biomarker,0.9739130434782609,0.9949549846288978,1.653842806816101,1.6450424284910008,0.10094803116260151,230
gam,4,joint_cp,hippocampus_left,biomarker,0.9521739130434783,0.9873619737750173,1.6274957656860352,1.617862582176382,0.16503803631482225,230
gam,4,joint_cp,hippocampus_right,biomarker,0.9608695652173913,0.9898688750862664,1.5627507369731806,1.5465345031991276,0.15412689788441347,230
gam,4,joint_cp,ventricle_left,biomarker,0.9304347826086956,0.9827148817366209,1.0508373094963712,1.0402378949013995,0.1051432679532423,230
gam,4,joint_cp,ventricle_right,biomarker,0.9304347826086956,0.9842196812848987,1.054734196122583,1.0491217764173701,0.10094803116260151,230
gam,4,raw,hippocampus_left,biomarker,0.5,0.8040418156722504,0.5389501458560533,0.5357600879971947,0.16503803631482225,230
gam,4,raw,hippocampus_right,biomarker,0.5130434782608696,0.8107492628144802,0.517509633749075,0.5121395788819413,0.15412689788441347,230
gam,4,raw,ventricle_left,biomarker,0.6173913043478261,0.8427268021833239,0.3479879537415078,0.3444779255359716,0.1051432679532423,230
gam,4,raw,ventricle_right,biomarker,0.6043478260869565,0.8426897860593513,0.34927841953555916,0.34741984977304136,0.10094803116260151,230
gam,4,single_cp,hippocampus_left,biomarker,0.8913043478260869,0.9699981178242049,1.1492667198181152,1.1424641846306407,0.16503803631482225,230
gam,4,single_cp,hippocampus_right,biomarker,0.8869565217391304,0.9710505677896982,1.1465582847595215,1.1346607653782481,0.15412689788441347,230
gam,4,single_cp,ventricle_left,biomarker,0.8782608695652174,0.965390551477508,0.691858783364296,0.6848802548901162,0.1051432679532423,230
gam,4,single_cp,ventricle_right,biomarker,0.8695652173913043,0.9625751301838258,0.7202892303466797,0.7164564490784592,0.10094803116260151,230
gam,4,bonferroni_cp,ALL_JOINT,joint,0.9130434782608695,,,1.673553089070279,,230
gam,4,joint_cp,ALL_JOINT,joint,0.8652173913043478,,,1.3134391891735697,,230
