model,method,biomarker,scope,coverage_mean,coverage_std,normalized_width_mean,normalized_width_std,folds
gam,bonferroni_cp,ALL_JOINT,joint,0.9434782608695652,0.019117255011989753,1.7980303000947786,0.13767832762326848,10
gam,bonferroni_cp,hippocampus_left,biomarker,0.9773913043478262,0.01475131669565154,2.005210549765807,0.29345218717528454,10
gam,bonferroni_cp,hippocampus_right,biomarker,0.9773913043478262,0.016242232725938423,1.9118377371990782,0.17941566960021033,10
gam,bonferroni_cp,ventricle_left,biomarker,0.9778260869565217,0.012029858533012827,1.6065941359887201,0.13411618089478727,10
gam,bonferroni_cp,ventricle_right,biomarker,0.9752173913043478,0.011782884999523412,1.6684787774255092,0.2285907503823905,10
gam,joint_cp,ALL_JOINT,joint,0.9004347826086956,0.02054191262597338,1.3667601406007925,0.08230974568583155,10
gam,joint_cp,hippocampus_left,biomarker,0.9652173913043478,0.011037352327338995,1.675869335496459,0.10855777763073952,10
gam,joint_cp,hippocampus_right,biomarker,0.9634782608695651,0.01741544218643455,1.624316376819381,0.11469786905326564,10
gam,joint_cp,ventricle_left,biomarker,0.95,0.012509185870747862,1.0781857357732272,0.05620900153501175,10
gam,joint_cp,ventricle_right,biomarker,0.9456521739130436,0.011994887940033947,1.0886691143141038,0.05814285760636814,10
gam,raw,ALL_JOINT,joint,0.2517391304347826,0.031046306316465717,0.43427764827811927,0.004506898761996926,10
gam,raw,hippocampus_left,biomarker,0.4995652173913044,0.023319376508194642,0.5324209143409833,0.009686987260736652,10
gam,raw,hippocampus_right,biomarker,0.5030434782608696,0.04145282238801052,0.5158935942077854,0.010555875143781934,10
gam,raw,ventricle_left,biomarker,0.6069565217391305,0.027283354494492977,0.3427403132383763,0.005708214717954105,10
gam,raw,ventricle_right,biomarker,0.6156521739130435,0.024866794886408364,0.3460557713253323,0.005814263627725909,10
gam,single_cp,ALL_JOINT,joint,0.7934782608695652,0.02993025569284547,0.9681819203017948,0.03703863336943541,10
gam,single_cp,hippocampus_left,biomarker,0.9082608695652175,0.020745403602639833,1.193725361796044,0.06498129353039644,10
gam,single_cp,hippocampus_right,biomarker,0.9065217391304348,0.028344358283489805,1.1647848069860471,0.04415514190685548,10
gam,single_cp,ventricle_left,biomarker,0.8995652173913044,0.02054191262597334,0.7398490524757287,0.03941206584517937,10
gam,single_cp,ventricle_right,biomarker,0.9056521739130435,0.01763715121921891,0.7743684599493597,0.04443939572701266,10
