model,fold,biomarker,target_index,fit_observations,fit_subjects,calibration_observations,calibration_subjects_with_biomarker,test_observations,test_subjects_with_biomarker,outcome_scale,training_seconds
gam,0,hippocampus_right,13,7421,1656,1894,414,1034,230,1.0052136182785034,0.05782198905944824
gam,0,hippocampus_left,14,7421,1656,1894,414,1034,230,1.0048317909240723,0.049666404724121094
gam,0,ventricle_right,17,7421,1656,1894,414,1034,230,0.9937435984611511,0.046097517013549805
gam,0,ventricle_left,18,7421,1656,1894,414,1034,230,0.9955119490623474,0.04701089859008789
gam,1,hippocampus_right,13,7482,1656,1822,414,1045,230,1.0069130659103394,0.044928789138793945
gam,1,hippocampus_left,14,7482,1656,1822,414,1045,230,0.9995148777961731,0.04627203941345215
gam,1,ventricle_right,17,7482,1656,1822,414,1045,230,1.0098923444747925,0.048294782638549805
gam,1,ventricle_left,18,7482,1656,1822,414,1045,230,0.997168779373169,0.04638028144836426
gam,2,hippocampus_right,13,7494,1656,1823,414,1032,230,0.9932356476783752,0.05192852020263672
gam,2,hippocampus_left,14,7494,1656,1823,414,1032,230,0.9901524782180786,0.04654884338378906
gam,2,ventricle_right,17,7494,1656,1823,414,1032,230,0.9957152009010315,0.04796266555786133
gam,2,ventricle_left,18,7494,1656,1823,414,1032,230,1.0058073997497559,0.04996633529663086
gam,3,hippocampus_right,13,7459,1656,1842,414,1048,230,0.9911744594573975,0.04952430725097656
gam,3,hippocampus_left,14,7459,1656,1842,414,1048,230,0.9855666756629944,0.04620003700256348
gam,3,ventricle_right,17,7459,1656,1842,414,1048,230,1.019548773765564,0.05510735511779785
gam,3,ventricle_left,18,7459,1656,1842,414,1048,230,1.0177276134490967,0.052257537841796875
gam,4,hippocampus_right,13,7423,1656,1878,414,1048,230,1.0104855298995972,0.04523038864135742
gam,4,hippocampus_left,14,7423,1656,1878,414,1048,230,1.0059542655944824,0.0471799373626709
gam,4,ventricle_right,17,7423,1656,1878,414,1048,230,1.0053496360778809,0.05360984802246094
gam,4,ventricle_left,18,7423,1656,1878,414,1048,230,1.010189414024353,0.05163717269897461
gam,5,hippocampus_right,13,7407,1656,1909,414,1033,230,1.0059655904769897,0.05995774269104004
gam,5,hippocampus_left,14,7407,1656,1909,414,1033,230,1.0075067281723022,0.046942710876464844
gam,5,ventricle_right,17,7407,1656,1909,414,1033,230,1.0155177116394043,0.052706241607666016
gam,5,ventricle_left,18,7407,1656,1909,414,1033,230,1.003879189491272,0.05142545700073242
gam,6,hippocampus_right,13,7453,1656,1848,414,1048,230,1.0033411979675293,0.053339481353759766
gam,6,hippocampus_left,14,7453,1656,1848,414,1048,230,1.0067394971847534,0.0482020378112793
gam,6,ventricle_right,17,7453,1656,1848,414,1048,230,1.0026397705078125,0.051212310791015625
gam,6,ventricle_left,18,7453,1656,1848,414,1048,230,1.0022598505020142,0.0550079345703125
gam,7,hippocampus_right,13,7461,1656,1856,414,1032,230,0.9849666357040405,0.05105257034301758
gam,7,hippocampus_left,14,7461,1656,1856,414,1032,230,0.984207808971405,0.05159640312194824
gam,7,ventricle_right,17,7461,1656,1856,414,1032,230,1.0182523727416992,0.056685686111450195
gam,7,ventricle_left,18,7461,1656,1856,414,1032,230,1.0149341821670532,0.058775901794433594
gam,8,hippocampus_right,13,7445,1656,1855,414,1049,230,0.9782342910766602,0.046813011169433594
gam,8,hippocampus_left,14,7445,1656,1855,414,1049,230,0.9804940819740295,0.050829410552978516
gam,8,ventricle_right,17,7445,1656,1855,414,1049,230,1.027787685394287,0.05713796615600586
gam,8,ventricle_left,18,7445,1656,1855,414,1049,230,1.0155165195465088,0.05777263641357422
gam,9,hippocampus_right,13,7561,1656,1808,414,980,230,1.010191798210144,0.05707359313964844
gam,9,hippocampus_left,14,7561,1656,1808,414,980,230,1.009395718574524,0.04841327667236328
gam,9,ventricle_right,17,7561,1656,1808,414,980,230,0.9982009530067444,0.048238277435302734
gam,9,ventricle_left,18,7561,1656,1808,414,980,230,0.9872153401374817,0.05699753761291504
