model,fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
mlp,0,single_cp,hippocampus_right,0.1,7.683622916591612,374,414
mlp,0,bonferroni_cp,hippocampus_right,0.025,11.168058656332354,405,414
mlp,0,single_cp,hippocampus_left,0.1,7.519173457033228,374,414
mlp,0,bonferroni_cp,hippocampus_left,0.025,10.333622481907163,405,414
mlp,0,single_cp,ventricle_right,0.1,9.911034188700432,374,414
mlp,0,bonferroni_cp,ventricle_right,0.025,20.77575168330311,405,414
mlp,0,single_cp,ventricle_left,0.1,10.431289505684806,374,414
mlp,0,bonferroni_cp,ventricle_left,0.025,19.57446051614889,405,414
mlp,0,joint_cp,ALL,0.1,12.284711897922445,374,414
mlp,1,single_cp,hippocampus_right,0.1,7.6588359235610435,374,414
mlp,1,bonferroni_cp,hippocampus_right,0.025,12.072898342241322,405,414
mlp,1,single_cp,hippocampus_left,0.1,7.65880740675745,374,414
mlp,1,bonferroni_cp,hippocampus_left,0.025,11.167669235295774,405,414
mlp,1,single_cp,ventricle_right,0.1,9.321505496919599,374,414
mlp,1,bonferroni_cp,ventricle_right,0.025,19.30459671831433,405,414
mlp,1,single_cp,ventricle_left,0.1,10.968989689488529,374,414
mlp,1,bonferroni_cp,ventricle_left,0.025,18.94054679765205,405,414
mlp,1,joint_cp,ALL,0.1,13.211571893960633,374,414
mlp,2,single_cp,hippocampus_right,0.1,8.003964228494906,374,414
mlp,2,bonferroni_cp,hippocampus_right,0.025,11.105991482524956,405,414
mlp,2,single_cp,hippocampus_left,0.1,7.1994364038385035,374,414
mlp,2,bonferroni_cp,hippocampus_left,0.025,10.295422866968181,405,414
mlp,2,single_cp,ventricle_right,0.1,8.430597165990795,374,414
mlp,2,bonferroni_cp,ventricle_right,0.025,16.187966131175124,405,414
mlp,2,single_cp,ventricle_left,0.1,8.528499884262052,374,414
mlp,2,bonferroni_cp,ventricle_left,0.025,15.62586445416676,405,414
mlp,2,joint_cp,ALL,0.1,11.677317485389352,374,414
mlp,3,single_cp,hippocampus_right,0.1,7.21545267497236,374,414
mlp,3,bonferroni_cp,hippocampus_right,0.025,10.455358919094273,405,414
mlp,3,single_cp,hippocampus_left,0.1,7.560095883278231,374,414
mlp,3,bonferroni_cp,hippocampus_left,0.025,10.816358768375892,405,414
mlp,3,single_cp,ventricle_right,0.1,8.555033932925912,374,414
mlp,3,bonferroni_cp,ventricle_right,0.025,16.99174071469399,405,414
mlp,3,single_cp,ventricle_left,0.1,10.526090508142719,374,414
