model,method,biomarker,scope,coverage_mean,coverage_std,normalized_width_mean,normalized_width_std,folds
mlp,bonferroni_cp,ALL_JOINT,joint,0.9282608695652174,0.02219332294364282,1.8053007697702412,0.10914051139325934,10
mlp,bonferroni_cp,hippocampus_left,biomarker,0.9747826086956521,0.014317784388670703,2.0371172058274474,0.17833178126263927,10
mlp,bonferroni_cp,hippocampus_right,biomarker,0.9747826086956521,0.015033394179582526,1.9672583631872829,0.14623587175212735,10
mlp,bonferroni_cp,ventricle_left,biomarker,0.9769565217391305,0.012306046211799272,1.548808454350223,0.14742006607556865,10
mlp,bonferroni_cp,ventricle_right,biomarker,0.9800000000000001,0.008249419983047943,1.668019055716012,0.13732589171069473,10
mlp,joint_cp,ALL_JOINT,joint,0.9013043478260869,0.034360359726302296,1.709647212726935,0.07914169293480519,10
mlp,joint_cp,hippocampus_left,biomarker,0.9852173913043478,0.012160102587480043,2.3013427144921166,0.14613456453627205,10
mlp,joint_cp,hippocampus_right,biomarker,0.9847826086956522,0.007173547055515708,2.166439361279049,0.15478901231257278,10
mlp,joint_cp,ventricle_left,biomarker,0.95,0.02682138481640833,1.1802992486281936,0.21270274937919353,10
mlp,joint_cp,ventricle_right,biomarker,0.9460869565217391,0.021613161602675075,1.1905075265083818,0.08736810781741525,10
mlp,raw,ALL_JOINT,joint,0.007391304347826087,0.0071147464977585955,0.22825846415364567,0.01779370350358334,10
mlp,raw,hippocampus_left,biomarker,0.14521739130434783,0.041257283127323095,0.30801118344874023,0.036345124511725356,10
mlp,raw,hippocampus_right,biomarker,0.15956521739130436,0.0365522072128607,0.2883637896873966,0.014008625972795079,10
mlp,raw,ventricle_left,biomarker,0.17086956521739133,0.04457788202278649,0.15783795433310696,0.03096257877213248,10
mlp,raw,ventricle_right,biomarker,0.18956521739130433,0.02503515696427732,0.15882092914533877,0.013853980623667092,10
mlp,single_cp,ALL_JOINT,joint,0.7443478260869565,0.027711115136735336,1.1251253263802294,0.04071822424709325,10
mlp,single_cp,hippocampus_left,biomarker,0.9008695652173913,0.025418157992340564,1.3803484333289417,0.08889244107629565,10
mlp,single_cp,hippocampus_right,biomarker,0.912608695652174,0.028210657734797112,1.3148095666681774,0.07646398822210108,10
mlp,single_cp,ventricle_left,biomarker,0.9052173913043479,0.019637547461976018,0.8873777644646127,0.06951551457127493,10
mlp,single_cp,ventricle_right,biomarker,0.9039130434782608,0.026915193502032246,0.9179655410591853,0.08072881470381964,10
