fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
0,single_cp,hippocampus_right,0.1,17.01780128479004,38,41
0,bonferroni_cp,hippocampus_right,0.025,21.915056228637695,41,41
0,single_cp,hippocampus_left,0.1,15.301551818847656,38,41
0,bonferroni_cp,hippocampus_left,0.025,20.184715270996094,41,41
0,single_cp,ventricle_right,0.1,8.86307144165039,38,41
0,bonferroni_cp,ventricle_right,0.025,12.50301456451416,41,41
0,single_cp,ventricle_left,0.1,10.834671974182129,38,41
0,bonferroni_cp,ventricle_left,0.025,17.003328323364258,41,41
0,joint_cp,ALL,0.1,17.63542938232422,38,41
1,single_cp,hippocampus_right,0.1,14.936647415161133,38,41
1,bonferroni_cp,hippocampus_right,0.025,16.044984817504883,41,41
1,single_cp,hippocampus_left,0.1,16.271371841430664,38,41
1,bonferroni_cp,hippocampus_left,0.025,24.05697250366211,41,41
1,single_cp,ventricle_right,0.1,11.677886009216309,38,41
1,bonferroni_cp,ventricle_right,0.025,27.981204986572266,41,41
1,single_cp,ventricle_left,0.1,9.572178840637207,38,41
1,bonferroni_cp,ventricle_left,0.025,25.022172927856445,41,41
1,joint_cp,ALL,0.1,16.471038818359375,38,41
2,single_cp,hippocampus_right,0.1,14.258322715759277,38,41
2,bonferroni_cp,hippocampus_right,0.025,24.119678497314453,41,41
2,single_cp,hippocampus_left,0.1,16.610992431640625,38,41
2,bonferroni_cp,hippocampus_left,0.025,35.24918746948242,41,41
2,single_cp,ventricle_right,0.1,11.211807250976562,38,41
2,bonferroni_cp,ventricle_right,0.025,17.06244659423828,41,41
2,single_cp,ventricle_left,0.1,8.311909675598145,38,41
2,bonferroni_cp,ventricle_left,0.025,12.465801239013672,41,41
2,joint_cp,ALL,0.1,17.06244659423828,38,41
3,single_cp,hippocampus_right,0.1,13.295389175415039,38,41
3,bonferroni_cp,hippocampus_right,0.025,19.57691192626953,41,41
3,single_cp,hippocampus_left,0.1,15.553603172302246,38,41
3,bonferroni_cp,hippocampus_left,0.025,72.57659912109375,41,41
3,single_cp,ventricle_right,0.1,11.387825965881348,38,41
3,bonferroni_cp,ventricle_right,0.025,12.62266731262207,41,41
3,single_cp,ventricle_left,0.1,8.675704002380371,38,41
3,bonferroni_cp,ventricle_left,0.025,11.703413963317871,41,41
3,joint_cp,ALL,0.1,16.33673095703125,38,41
4,single_cp,hippocampus_right,0.1,14.348254203796387,38,41
4,bonferroni_cp,hippocampus_right,0.025,27.241111755371094,41,41
4,single_cp,hippocampus_left,0.1,17.4763240814209,38,41
4,bonferroni_cp,hippocampus_left,0.025,21.1947078704834,41,41
4,single_cp,ventricle_right,0.1,13.005016326904297,38,41
4,bonferroni_cp,ventricle_right,0.025,17.5671443939209,41,41
4,single_cp,ventricle_left,0.1,9.44738483428955,38,41
4,bonferroni_cp,ventricle_left,0.025,12.449654579162598,41,41
4,joint_cp,ALL,0.1,17.966135025024414,38,41
5,single_cp,hippocampus_right,0.1,12.259727478027344,38,41
5,bonferroni_cp,hippocampus_right,0.025,21.81891441345215,41,41
5,single_cp,hippocampus_left,0.1,12.178986549377441,38,41
5,bonferroni_cp,hippocampus_left,0.025,24.23308753967285,41,41
5,single_cp,ventricle_right,0.1,7.6743268966674805,38,41
5,bonferroni_cp,ventricle_right,0.025,10.196341514587402,41,41
5,single_cp,ventricle_left,0.1,11.091594696044922,38,41
5,bonferroni_cp,ventricle_left,0.025,15.705789566040039,41,41
5,joint_cp,ALL,0.1,15.705789566040039,38,41
6,single_cp,hippocampus_right,0.1,11.859055519104004,38,41
6,bonferroni_cp,hippocampus_right,0.025,21.33653450012207,41,41
6,single_cp,hippocampus_left,0.1,18.48138427734375,38,41
6,bonferroni_cp,hippocampus_left,0.025,18.993741989135742,41,41
6,single_cp,ventricle_right,0.1,11.912075996398926,38,41
6,bonferroni_cp,ventricle_right,0.025,20.246883392333984,41,41
6,single_cp,ventricle_left,0.1,11.928661346435547,38,41
6,bonferroni_cp,ventricle_left,0.025,13.909919738769531,41,41
6,joint_cp,ALL,0.1,18.832199096679688,38,41
7,single_cp,hippocampus_right,0.1,18.042692184448242,38,41
7,bonferroni_cp,hippocampus_right,0.025,28.983463287353516,41,41
7,single_cp,hippocampus_left,0.1,23.439680099487305,38,41
7,bonferroni_cp,hippocampus_left,0.025,26.801006317138672,41,41
7,single_cp,ventricle_right,0.1,8.659202575683594,38,41
7,bonferroni_cp,ventricle_right,0.025,13.430697441101074,41,41
7,single_cp,ventricle_left,0.1,10.755960464477539,38,41
7,bonferroni_cp,ventricle_left,0.025,12.153663635253906,41,41
7,joint_cp,ALL,0.1,24.9815673828125,38,41
8,single_cp,hippocampus_right,0.1,13.340332984924316,38,41
8,bonferroni_cp,hippocampus_right,0.025,33.97766876220703,41,41
8,single_cp,hippocampus_left,0.1,15.843687057495117,38,41
8,bonferroni_cp,hippocampus_left,0.025,26.73274040222168,41,41
8,single_cp,ventricle_right,0.1,9.901662826538086,38,41
8,bonferroni_cp,ventricle_right,0.025,13.168181419372559,41,41
8,single_cp,ventricle_left,0.1,6.2685112953186035,38,41
8,bonferroni_cp,ventricle_left,0.025,24.410303115844727,41,41
8,joint_cp,ALL,0.1,16.000259399414062,38,41
9,single_cp,hippocampus_right,0.1,13.81265640258789,38,41
9,bonferroni_cp,hippocampus_right,0.025,20.282615661621094,41,41
9,single_cp,hippocampus_left,0.1,19.936138153076172,38,41
9,bonferroni_cp,hippocampus_left,0.025,23.839923858642578,41,41
9,single_cp,ventricle_right,0.1,12.90004825592041,38,41
9,bonferroni_cp,ventricle_right,0.025,21.31087303161621,41,41
9,single_cp,ventricle_left,0.1,12.089522361755371,38,41
9,bonferroni_cp,ventricle_left,0.025,14.241790771484375,41,41
9,joint_cp,ALL,0.1,21.26313018798828,38,41
