method,biomarker,metric_scope,coverage_mean,coverage_std,width_mean,width_std,folds
bonferroni_cp,ALL_JOINT,joint,0.907391304347826,0.029349167977910203,1.5482242902240466,0.25799976040516526,10
bonferroni_cp,hippocampus_left,biomarker,0.9791304347826086,0.010806580801337541,2.1758222165264547,1.128863926817048,10
bonferroni_cp,hippocampus_right,biomarker,0.9752173913043478,0.02264304339987757,1.7343140285923386,0.3247741334451484,10
bonferroni_cp,ventricle_left,biomarker,0.9582608695652175,0.02495111793235637,1.1505183890289394,0.4490745184653485,10
bonferroni_cp,ventricle_right,biomarker,0.9547826086956522,0.027892432982537768,1.132242526748454,0.3762463372784259,10
joint_cp,ALL_JOINT,joint,0.8678260869565217,0.05595028849441883,1.314377251090597,0.18286214733298356,10
joint_cp,hippocampus_left,biomarker,0.9252173913043478,0.04380553156478274,1.361715834071506,0.21492967143351174,10
joint_cp,hippocampus_right,biomarker,0.9447826086956521,0.025356106899716496,1.352209417291348,0.2201496139230557,10
joint_cp,ventricle_left,biomarker,0.9726086956521739,0.017276189066881827,1.300339892301007,0.21622524773448243,10
joint_cp,ventricle_right,biomarker,0.9708695652173913,0.016274529899860665,1.2432438606985277,0.21526550372467435,10
raw_dkgp,ALL_JOINT,joint,0.002173913043478261,0.0030743773095067285,0.11893335725667734,0.005528235642473747,10
raw_dkgp,hippocampus_left,biomarker,0.03695652173913043,0.01836066588307236,0.12344011573171994,0.014235984052623793,10
raw_dkgp,hippocampus_right,biomarker,0.043043478260869565,0.01949261893170426,0.12216478153246531,0.008565809314121403,10
raw_dkgp,ventricle_left,biomarker,0.1326086956521739,0.02650629153358244,0.11776974490945409,0.014694277873238185,10
raw_dkgp,ventricle_right,biomarker,0.12565217391304348,0.035110172565815514,0.11235878685306995,0.010206999758558122,10
single_cp,ALL_JOINT,joint,0.7186956521739131,0.10384439751469543,0.9420797032422907,0.10887514920610335,10
single_cp,hippocampus_left,biomarker,0.9065217391304348,0.053769873794461305,1.276407392814431,0.21709639266391206,10
single_cp,hippocampus_right,biomarker,0.8791304347826087,0.039146534530166095,1.05665188701638,0.09967496052323442,10
single_cp,ventricle_left,biomarker,0.8808695652173913,0.09257682425420473,0.7039411252906531,0.12986520157654322,10
single_cp,ventricle_right,biomarker,0.8978260869565217,0.04838279415253218,0.7313184078476991,0.13902178663613404,10
