fold,method,biomarker,alpha_used,qhat,rank,n_calibration_subjects
0,single_cp,hippocampus_right,0.1,16.4720516204834,95,104
0,bonferroni_cp,hippocampus_right,0.025,27.57218360900879,103,104
0,single_cp,hippocampus_left,0.1,20.10089111328125,95,104
0,bonferroni_cp,hippocampus_left,0.025,38.81198501586914,103,104
0,single_cp,ventricle_right,0.1,8.625869750976562,95,104
0,bonferroni_cp,ventricle_right,0.025,27.553897857666016,103,104
0,single_cp,ventricle_left,0.1,10.657938957214355,95,104
0,bonferroni_cp,ventricle_left,0.025,25.482759475708008,103,104
0,joint_cp,ALL,0.1,23.353939056396484,95,104
1,single_cp,hippocampus_right,0.1,16.10681915283203,95,104
1,bonferroni_cp,hippocampus_right,0.025,20.56461524963379,103,104
1,single_cp,hippocampus_left,0.1,18.325796127319336,95,104
1,bonferroni_cp,hippocampus_left,0.025,28.64631462097168,103,104
1,single_cp,ventricle_right,0.1,9.883461952209473,95,104
1,bonferroni_cp,ventricle_right,0.025,18.45541000366211,103,104
1,single_cp,ventricle_left,0.1,7.496574878692627,95,104
1,bonferroni_cp,ventricle_left,0.025,12.563257217407227,103,104
1,joint_cp,ALL,0.1,18.98965835571289,95,104
2,single_cp,hippocampus_right,0.1,16.05297088623047,95,104
2,bonferroni_cp,hippocampus_right,0.025,25.446470260620117,103,104
2,single_cp,hippocampus_left,0.1,15.439403533935547,95,104
2,bonferroni_cp,hippocampus_left,0.025,28.01141357421875,103,104
2,single_cp,ventricle_right,0.1,9.220908164978027,95,104
2,bonferroni_cp,ventricle_right,0.025,24.078832626342773,103,104
2,single_cp,ventricle_left,0.1,14.34890079498291,95,104
2,bonferroni_cp,ventricle_left,0.025,27.650774002075195,103,104
2,joint_cp,ALL,0.1,18.662586212158203,95,104
3,single_cp,hippocampus_right,0.1,14.299895286560059,95,104
3,bonferroni_cp,hippocampus_right,0.025,23.594011306762695,103,104
3,single_cp,hippocampus_left,0.1,17.775686264038086,95,104
3,bonferroni_cp,hippocampus_left,0.025,21.815624237060547,103,104
3,single_cp,ventricle_right,0.1,10.295680046081543,95,104
3,bonferroni_cp,ventricle_right,0.025,22.575796127319336,103,104
3,single_cp,ventricle_left,0.1,10.100821495056152,95,104
3,bonferroni_cp,ventricle_left,0.025,16.446739196777344,103,104
3,joint_cp,ALL,0.1,18.34089469909668,95,104
4,single_cp,hippocampus_right,0.1,16.04664421081543,95,104
4,bonferroni_cp,hippocampus_right,0.025,22.350847244262695,103,104
4,single_cp,hippocampus_left,0.1,14.972785949707031,95,104
4,bonferroni_cp,hippocampus_left,0.025,22.976694107055664,103,104
4,single_cp,ventricle_right,0.1,9.982937812805176,95,104
4,bonferroni_cp,ventricle_right,0.025,27.24036407470703,103,104
4,single_cp,ventricle_left,0.1,11.244170188903809,95,104
4,bonferroni_cp,ventricle_left,0.025,26.299985885620117,103,104
4,joint_cp,ALL,0.1,19.42871856689453,95,104
5,single_cp,hippocampus_right,0.1,21.977306365966797,95,104
5,bonferroni_cp,hippocampus_right,0.025,44.189002990722656,103,104
5,single_cp,hippocampus_left,0.1,17.76222801208496,95,104
5,bonferroni_cp,hippocampus_left,0.025,41.401954650878906,103,104
5,single_cp,ventricle_right,0.1,12.272405624389648,95,104
5,bonferroni_cp,ventricle_right,0.025,21.059616088867188,103,104
5,single_cp,ventricle_left,0.1,16.532360076904297,95,104
5,bonferroni_cp,ventricle_left,0.025,22.226808547973633,103,104
5,joint_cp,ALL,0.1,24.683488845825195,95,104
6,single_cp,hippocampus_right,0.1,13.96493148803711,95,104
6,bonferroni_cp,hippocampus_right,0.025,25.098569869995117,103,104
6,single_cp,hippocampus_left,0.1,16.373828887939453,95,104
6,bonferroni_cp,hippocampus_left,0.025,23.405906677246094,103,104
6,single_cp,ventricle_right,0.1,10.986063003540039,95,104
6,bonferroni_cp,ventricle_right,0.025,23.30640411376953,103,104
6,single_cp,ventricle_left,0.1,12.55540943145752,95,104
6,bonferroni_cp,ventricle_left,0.025,22.536272048950195,103,104
6,joint_cp,ALL,0.1,18.262493133544922,95,104
7,single_cp,hippocampus_right,0.1,15.649654388427734,95,104
7,bonferroni_cp,hippocampus_right,0.025,30.041900634765625,103,104
7,single_cp,hippocampus_left,0.1,18.588388442993164,95,104
7,bonferroni_cp,hippocampus_left,0.025,29.854265213012695,103,104
7,single_cp,ventricle_right,0.1,10.356404304504395,95,104
7,bonferroni_cp,ventricle_right,0.025,30.665735244750977,103,104
7,single_cp,ventricle_left,0.1,8.9465970993042,95,104
7,bonferroni_cp,ventricle_left,0.025,33.15864562988281,103,104
7,joint_cp,ALL,0.1,19.892322540283203,95,104
8,single_cp,hippocampus_right,0.1,15.542609214782715,95,104
8,bonferroni_cp,hippocampus_right,0.025,19.06212043762207,103,104
8,single_cp,hippocampus_left,0.1,18.230005264282227,95,104
8,bonferroni_cp,hippocampus_left,0.025,29.09804916381836,103,104
8,single_cp,ventricle_right,0.1,11.0206298828125,95,104
8,bonferroni_cp,ventricle_right,0.025,27.063749313354492,103,104
8,single_cp,ventricle_left,0.1,10.089617729187012,95,104
8,bonferroni_cp,ventricle_left,0.025,20.88772964477539,103,104
8,joint_cp,ALL,0.1,19.3121395111084,95,104
9,single_cp,hippocampus_right,0.1,14.22498607635498,95,104
9,bonferroni_cp,hippocampus_right,0.025,19.01991844177246,103,104
9,single_cp,hippocampus_left,0.1,15.210795402526855,95,104
9,bonferroni_cp,hippocampus_left,0.025,21.037960052490234,103,104
9,single_cp,ventricle_right,0.1,10.494163513183594,95,104
9,bonferroni_cp,ventricle_right,0.025,26.151124954223633,103,104
9,single_cp,ventricle_left,0.1,11.041703224182129,95,104
9,bonferroni_cp,ventricle_left,0.025,23.354541778564453,103,104
9,joint_cp,ALL,0.1,18.734943389892578,95,104
