fold,partition,id
0,fit,S00000
0,fit,S00001
0,fit,S00003
0,fit,S00004
0,fit,S00005
0,fit,S00006
0,fit,S00007
0,fit,S00008
0,fit,S00009
0,fit,S00010
0,fit,S00011
0,fit,S00013
0,fit,S00014
0,fit,S00015
0,fit,S00017
0,fit,S00018
0,fit,S00019
0,fit,S00020
0,fit,S00021
0,fit,S00022
0,fit,S00023
0,fit,S00024
0,fit,S00025
0,fit,S00026
0,fit,S00027
0,fit,S00029
0,fit,S00030
0,fit,S00031
0,fit,S00032
0,fit,S00033
0,fit,S00034
0,fit,S00035
0,fit,S00036
0,fit,S00037
0,fit,S00038
0,fit,S00039
0,fit,S00040
0,fit,S00041
0,fit,S00043
0,fit,S00044
0,fit,S00045
0,fit,S00046
0,fit,S00047
0,fit,S00048
0,fit,S00049
0,fit,S00051
0,fit,S00052
0,fit,S00053
0,fit,S00054
0,fit,S00055
0,fit,S00056
0,fit,S00057
0,fit,S00059
0,fit,S00060
0,fit,S00061
0,fit,S00062
0,fit,S00063
0,fit,S00064
0,fit,S00065
0,fit,S00067
0,fit,S00070
0,fit,S00071
0,fit,S00072
0,fit,S00073
0,fit,S00074
0,fit,S00075
0,fit,S00078
0,fit,S00079
0,fit,S00080
0,fit,S00082
0,fit,S00083
0,fit,S00084
0,fit,S00085
0,fit,S00087
0,fit,S00088
0,fit,S00089
0,fit,S00090
0,fit,S00091
0,fit,S00093
0,fit,S00095
0,fit,S00096
0,fit,S00097
0,fit,S00098
0,fit,S00099
0,fit,S00100
0,fit,S00101
0,fit,S00103
0,fit,S00104
0,fit,S00105
0,fit,S00106
0,fit,S00108
0,fit,S00109
0,fit,S00110
0,fit,S00111
0,fit,S00112
0,fit,S00113
0,fit,S00114
0,fit,S00116
0,fit,S00117
0,fit,S00118
0,fit,S00119
0,fit,S00120
0,fit,S00121
0,fit,S00122
0,fit,S00123
0,fit,S00124
0,fit,S00125
0,fit,S00126
0,fit,S00127
0,fit,S00128
0,fit,S00129
0,fit,S00131
0,fit,S00133
0,fit,S00134
0,fit,S00136
0,fit,S00137
0,fit,S00138
0,fit,S00139
0,fit,S00140
0,fit,S00141
0,fit,S00142
0,fit,S00144
0,fit,S00145
0,fit,S00146
0,fit,S00147
0,fit,S00148
0,fit,S00149
0,fit,S00150
0,fit,S00152
0,fit,S00153
0,fit,S00154
0,fit,S00155
0,fit,S00156
0,fit,S00157
0,fit,S00158
0,fit,S00159
0,fit,S00160
0,fit,S00161
0,fit,S00163
0,fit,S00164
0,fit,S00165
0,fit,S00166
0,fit,S00167
0,fit,S00169
0,fit,S00170
0,fit,S00171
0,fit,S00172
0,fit,S00174
0,fit,S00175
0,fit,S00178
0,fit,S00179
0,fit,S00181
0,fit,S00183
0,fit,S00184
0,fit,S00186
0,fit,S00187
0,fit,S00188
0,fit,S00189
0,fit,S00190
0,fit,S00191
0,fit,S00193
0,fit,S00195
0,fit,S00197
0,fit,S00198
0,fit,S00199
0,fit,S00201
0,fit,S00202
0,fit,S00204
0,fit,S00205
0,fit,S00206
0,fit,S00207
0,fit,S00209
0,fit,S00211
0,fit,S00212
0,fit,S00213
0,fit,S00214
0,fit,S00215
0,fit,S00216
0,fit,S00217
0,fit,S00218
0,fit,S00219
0,fit,S00220
0,fit,S00221
0,fit,S00222
0,fit,S00223
0,fit,S00224
0,fit,S00225
0,fit,S00227
0,fit,S00228
0,fit,S00229
0,fit,S00230
0,fit,S00232
0,fit,S00233
0,fit,S00234
0,fit,S00235
0,fit,S00236
0,fit,S00237
0,fit,S00239
0,fit,S00240
0,fit,S00242
0,fit,S00243
0,fit,S00244
0,fit,S00245
0,fit,S00246
0,fit,S00247
0,fit,S00248
0,fit,S00249
0,fit,S00250
0,fit,S00252
0,fit,S00253
0,fit,S00254
0,fit,S00255
0,fit,S00257
0,fit,S00258
0,fit,S00259
0,fit,S00260
0,fit,S00261
0,fit,S00262
0,fit,S00263
0,fit,S00264
0,fit,S00267
0,fit,S00268
0,fit,S00270
0,fit,S00271
0,fit,S00273
0,fit,S00274
0,fit,S00275
0,fit,S00276
0,fit,S00277
0,fit,S00279
0,fit,S00280
0,fit,S00281
0,fit,S00284
0,fit,S00285
0,fit,S00286
0,fit,S00287
0,fit,S00288
0,fit,S00289
0,fit,S00290
0,fit,S00291
0,fit,S00292
0,fit,S00293
0,fit,S00294
0,fit,S00295
0,fit,S00296
0,fit,S00297
0,fit,S00299
0,fit,S00300
0,fit,S00301
0,fit,S00302
0,fit,S00305
0,fit,S00307
0,fit,S00308
0,fit,S00309
0,fit,S00310
0,fit,S00311
0,fit,S00312
0,fit,S00314
0,fit,S00315
0,fit,S00316
0,fit,S00317
0,fit,S00318
0,fit,S00319
0,fit,S00320
0,fit,S00321
0,fit,S00322
0,fit,S00323
0,fit,S00324
0,fit,S00325
0,fit,S00326
0,fit,S00329
0,fit,S00330
0,fit,S00331
0,fit,S00332
0,fit,S00333
0,fit,S00334
0,fit,S00335
0,fit,S00336
0,fit,S00337
0,fit,S00339
0,fit,S00340
0,fit,S00341
0,fit,S00342
0,fit,S00343
0,fit,S00347
0,fit,S00349
0,fit,S00350
0,fit,S00351
0,fit,S00352
0,fit,S00353
0,fit,S00355
0,fit,S00356
0,fit,S00357
0,fit,S00358
0,fit,S00360
0,fit,S00361
0,fit,S00363
0,fit,S00364
0,fit,S00365
0,fit,S00367
0,fit,S00368
0,fit,S00369
0,fit,S00370
0,fit,S00371
0,fit,S00373
0,fit,S00374
0,fit,S00375
0,fit,S00376
0,fit,S00379
0,fit,S00380
0,fit,S00381
0,fit,S00384
0,fit,S00385
0,fit,S00386
0,fit,S00387
0,fit,S00388
0,fit,S00389
0,fit,S00390
0,fit,S00391
0,fit,S00392
0,fit,S00393
0,fit,S00394
0,fit,S00395
0,fit,S00396
0,fit,S00397
0,fit,S00398
0,fit,S00399
0,fit,S00400
0,fit,S00402
